node_id,node_type,household_count,rmse_test_2012q4,rmse_test_2013,rmse_test_2014,mae_test_2012q4,mae_test_2013,mae_test_2014,count_test_2012q4,count_test_2013,count_test_2014,rmse_increase_2013_vs_2012_pct,mae_increase_2013_vs_2012_pct,exceeds_degradation_threshold
node_std_0,Std,20,0.12035807823761245,0.11452029930186043,0.1170997156986981,0.09712110581221405,0.0929064654751148,0.09435769131309107,2160.0,8712.0,1368.0,-4.850342429219419,-4.339572023869199,False
node_std_1,Std,20,0.0861805548442916,0.07896853829936569,0.08647855660431823,0.06702226974346019,0.06076692057049964,0.0673775533486528,2160.0,8712.0,1368.0,-8.36849630169632,-9.333239827454404,False
node_std_2,Std,20,0.10096059935773058,0.09441910015923617,0.11397690590252399,0.07524127783598723,0.07050518028581766,0.08591336953012567,2160.0,8712.0,1368.0,-6.479259473605257,-6.2945469380430135,False
node_tou_0,ToU,20,0.13953315899049215,0.11768379415396538,0.13892560537682122,0.10765631375489411,0.09118938766235163,0.10936340811656929,2160.0,8712.0,1368.0,-15.65890501914,-15.295829402104049,False
node_tou_1,ToU,20,0.16278047904238618,0.1305234442990935,0.15643965827626732,0.13867700541460956,0.10516956504656702,0.1320560076083356,2160.0,8712.0,1368.0,-19.81627952753065,-24.16221800280708,False
node_tou_2,ToU,20,0.11999802575650802,0.12022852135008592,0.1389498364978701,0.08969898268028542,0.08358804100253803,0.10740298555608381,2160.0,8712.0,1368.0,0.19208282146709027,-6.812721276370165,False
node_tou_3,ToU,20,0.1174888637671119,0.10367945352342964,0.12093867800173869,0.08499872772781937,0.07494018602469736,0.09076981516609416,2160.0,8712.0,1368.0,-11.753803552867337,-11.833755600826402,False
node_tou_4,ToU,20,0.13657220848459228,0.1417112678806733,0.16450467035301972,0.09566109666117915,0.09948534777779662,0.12167390884711729,2160.0,8712.0,1368.0,3.762888111061613,3.997707793548023,False
node_tou_5,ToU,20,0.08667569327801372,0.08091269323575584,0.08601867354620064,0.06924588878949484,0.06269125035588516,0.06679273488228782,2160.0,8712.0,1368.0,-6.64892292672291,-9.465743812655155,False
node_tou_6,ToU,20,0.11562381296054466,0.12418512430576722,0.12623772419065546,0.08485779188297413,0.08883087163238595,0.09320842592339766,2160.0,8712.0,1368.0,7.404453395896928,4.682044702378106,False
