epoch,train_loss,node_id,node_type,household_count,train_sequence_count
8,0.11827662241228908,node_tou_2,ToU,20,49760
9,0.11740627693689137,node_tou_2,ToU,20,49760
10,0.11735584805345228,node_tou_2,ToU,20,49760
11,0.11663695141744959,node_tou_2,ToU,20,49760
12,0.11691069417660067,node_tou_2,ToU,20,49760
13,0.11724669855459327,node_tou_2,ToU,20,49760
14,0.11675918457304933,node_tou_2,ToU,20,49760
15,0.11626193544489011,node_tou_2,ToU,20,49760
16,0.11654209325694961,node_tou_2,ToU,20,49760
17,0.11605693360616923,node_tou_2,ToU,20,49760
18,0.11587301393988815,node_tou_2,ToU,20,49760
19,0.11578040397291782,node_tou_2,ToU,20,49760
20,0.11548387343573034,node_tou_2,ToU,20,49760
1,0.6732811049681001,node_tou_3,ToU,20,49760
2,0.4771098458306966,node_tou_3,ToU,20,49760
3,0.4577123713071707,node_tou_3,ToU,20,49760
4,0.45226416967306104,node_tou_3,ToU,20,49760
5,0.4450461390700754,node_tou_3,ToU,20,49760
6,0.44106029110610295,node_tou_3,ToU,20,49760
7,0.44122608156449544,node_tou_3,ToU,20,49760
8,0.43746035334764954,node_tou_3,ToU,20,49760
9,0.4373148023028082,node_tou_3,ToU,20,49760
10,0.42952185060433634,node_tou_3,ToU,20,49760
11,0.42355163576997745,node_tou_3,ToU,20,49760
12,0.4189952694909749,node_tou_3,ToU,20,49760
13,0.41283840213174605,node_tou_3,ToU,20,49760
14,0.4134168103145633,node_tou_3,ToU,20,49760
15,0.40344112435912777,node_tou_3,ToU,20,49760
16,0.4012446959685666,node_tou_3,ToU,20,49760
17,0.3966781455891692,node_tou_3,ToU,20,49760
18,0.3895806491949934,node_tou_3,ToU,20,49760
19,0.3837846595758027,node_tou_3,ToU,20,49760
20,0.3806604248055308,node_tou_3,ToU,20,49760
1,0.7235909571697474,node_tou_4,ToU,20,49760
2,0.5287465851598231,node_tou_4,ToU,20,49760
3,0.5106018617413818,node_tou_4,ToU,20,49760
4,0.5127398084405917,node_tou_4,ToU,20,49760
5,0.5253126000284766,node_tou_4,ToU,20,49760
6,0.5157331127014574,node_tou_4,ToU,20,49760
7,0.5069339132002312,node_tou_4,ToU,20,49760
8,0.4918637278378968,node_tou_4,ToU,20,49760
9,0.48583424754464744,node_tou_4,ToU,20,49760
10,0.47998992338824503,node_tou_4,ToU,20,49760
11,0.4812531613268653,node_tou_4,ToU,20,49760
12,0.4708853397769943,node_tou_4,ToU,20,49760
13,0.4750796473677902,node_tou_4,ToU,20,49760
14,0.46694711734244293,node_tou_4,ToU,20,49760
15,0.46538087179423143,node_tou_4,ToU,20,49760
16,0.4630624841311737,node_tou_4,ToU,20,49760
17,0.46225729467784477,node_tou_4,ToU,20,49760
18,0.486170026458728,node_tou_4,ToU,20,49760
19,0.4750990879880654,node_tou_4,ToU,20,49760
20,0.470125408300537,node_tou_4,ToU,20,49760
1,0.47161263830217137,node_tou_5,ToU,20,49760
2,0.2708567934787542,node_tou_5,ToU,20,49760
3,0.2538389930675267,node_tou_5,ToU,20,49760
4,0.24640055898205643,node_tou_5,ToU,20,49760
5,0.2458630755974932,node_tou_5,ToU,20,49760
6,0.24302845821503274,node_tou_5,ToU,20,49760
7,0.2421935868512396,node_tou_5,ToU,20,49760
8,0.2414344648456267,node_tou_5,ToU,20,49760
9,0.23932466857686305,node_tou_5,ToU,20,49760
10,0.24017958048838894,node_tou_5,ToU,20,49760
11,0.23673434588111866,node_tou_5,ToU,20,49760
12,0.23669535046221743,node_tou_5,ToU,20,49760
13,0.2368294660588936,node_tou_5,ToU,20,49760
14,0.23445026944975378,node_tou_5,ToU,20,49760
