node_type,node_count,avg_rmse_2012q4,avg_rmse_2013,avg_rmse_increase_pct,median_rmse_increase_pct,std_rmse_increase_pct,min_rmse_increase_pct,max_rmse_increase_pct,degraded_nodes,degraded_node_share_pct
Std,3,0.0942231695932229,0.08781194620718273,-7.072630361283255,-6.8929152090654515,4.1171125689739485,-11.276657690045875,-3.048318184738437,0,0.0
ToU,7,0.10299672876026293,0.09730442320858128,-5.566359404405428,-6.3027604917139755,8.220129762194967,-18.081032884310215,10.126259394482295,1,14.285714285714285
Overall,10,0.10036466101015092,0.0944566801081617,-6.018240691468777,-6.376916971674024,7.024473260329585,-18.081032884310215,10.126259394482295,1,10.0
