split_key,split_label,tariff_group,count,rmse,mae
test_2012q4,Test: 2012 Q4,Overall,436800,0.3599733992613903,0.1802926274560965
test_2012q4,Test: 2012 Q4,Std,131040,0.325397552395906,0.17509688496116607
test_2012q4,Test: 2012 Q4,ToU,305760,0.37381389191198444,0.1825193742310608
test_2013,Test: 2013 drift year,Overall,1747200,0.3731316140880812,0.174380273839029
test_2013,Test: 2013 drift year,Std,524160,0.30735421599116053,0.16348934418525232
test_2013,Test: 2013 drift year,ToU,1223040,0.3980079274239626,0.17904781512389753
test_2014,Test: 2014 post-drift,Overall,278400,0.3884124823950119,0.19904187957702696
test_2014,Test: 2014 post-drift,Std,83520,0.32629826956976427,0.17873268525376632
test_2014,Test: 2014 post-drift,ToU,194880,0.4121772993273747,0.2077458200281966
