split_key,split_label,tariff_group,count,rmse,mae
test_2012q4,Test: 2012 Q4,Overall,432000,0.34914738421257274,0.17225545349386004
test_2012q4,Test: 2012 Q4,Std,129600,0.3180335727565172,0.16748916883895426
test_2012q4,Test: 2012 Q4,ToU,302400,0.36166339937893727,0.174298147278488
test_2013,Test: 2013 drift year,Overall,1742400,0.3498332011562355,0.16489261290771737
test_2013,Test: 2013 drift year,Std,522720,0.30304681512742093,0.15791066570095158
test_2013,Test: 2013 drift year,ToU,1219680,0.3680684260693204,0.16788487600322183
test_2014,Test: 2014 post-drift,Overall,273600,0.3718379249483519,0.18675489121862845
test_2014,Test: 2014 post-drift,Std,82080,0.3209163155836422,0.17080258083389982
test_2014,Test: 2014 post-drift,ToU,191520,0.3916398844379939,0.19359159354858083
