stdorToU,pre_lag24_acf,drift_lag24_acf,lag24_change,pre_lag48_acf,drift_lag48_acf,lag48_change,mean_abs_acf_change,rmse_acf_change
Std,0.42310690890772573,0.3514485792381237,-0.071658329669602,0.3967592746354073,0.31805095114228915,-0.07870832349311813,0.10979548235138267,0.11159587115985452
ToU,0.5113668341898875,0.4679216823040692,-0.04344515188581827,0.47760316827409893,0.42967920476744836,-0.04792396350665057,0.0744933943840686,0.07694910741481648
