split_key,rmse_overall,rmse_std,rmse_tou,mae_overall,mae_std,mae_tou,count_overall,count_std,count_tou,split_label,rmse_increase_vs_2012_pct,mae_increase_vs_2012_pct
test_2012q4,0.3599733992613903,0.325397552395906,0.37381389191198444,0.1802926274560965,0.17509688496116607,0.1825193742310608,436800.0,131040.0,305760.0,Test: 2012 Q4,0.0,0.0
test_2013,0.3731316140880812,0.30735421599116053,0.3980079274239626,0.174380273839029,0.16348934418525232,0.17904781512389753,1747200.0,524160.0,1223040.0,Test: 2013 drift year,3.655329769835633,-3.2793096980669656
test_2014,0.3884124823950119,0.32629826956976427,0.4121772993273747,0.19904187957702696,0.17873268525376632,0.2077458200281966,278400.0,83520.0,194880.0,Test: 2014 post-drift,7.900329077641343,10.39934487919986
