window_key,window_label,LCLid,stdorToU,adf_statistic,p_value,failed_adf
pre_2011_2012,2011-2012 pre-drift,MAC000052,ToU,-10.451210699743962,1.4366218511543625e-18,False
pre_2011_2012,2011-2012 pre-drift,MAC000082,ToU,-15.169176251012457,6.427046803629122e-28,False
pre_2011_2012,2011-2012 pre-drift,MAC000165,ToU,-14.538141080193547,5.198418086179732e-27,False
pre_2011_2012,2011-2012 pre-drift,MAC000198,ToU,-6.870396040340617,1.5208814168210412e-09,False
pre_2011_2012,2011-2012 pre-drift,MAC000293,ToU,-13.123256327827473,1.5475628183221299e-24,False
pre_2011_2012,2011-2012 pre-drift,MAC000354,ToU,-4.253882046408705,0.0005333860395752546,False
pre_2011_2012,2011-2012 pre-drift,MAC000395,ToU,-3.3808000433211842,0.011631072095415777,False
pre_2011_2012,2011-2012 pre-drift,MAC000451,ToU,-3.0595909588918757,0.029691794032750504,False
pre_2011_2012,2011-2012 pre-drift,MAC000470,ToU,-4.884733462984994,3.734081805685124e-05,False
pre_2011_2012,2011-2012 pre-drift,MAC000523,ToU,-7.207519417008085,2.2796740883876328e-10,False
pre_2011_2012,2011-2012 pre-drift,MAC000561,ToU,-6.116063237499686,9.08871315312552e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC000587,ToU,-7.660407540786992,1.6946126697498626e-11,False
pre_2011_2012,2011-2012 pre-drift,MAC000617,ToU,-5.053672547449865,1.735941129529549e-05,False
pre_2011_2012,2011-2012 pre-drift,MAC000628,ToU,-3.475794048307487,0.008630956214939789,False
pre_2011_2012,2011-2012 pre-drift,MAC000640,ToU,-5.813610088129598,4.343671326621119e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC000681,ToU,-6.435512002651322,1.6566666871754674e-08,False
pre_2011_2012,2011-2012 pre-drift,MAC000755,ToU,-16.08138212779099,5.373740496753563e-29,False
pre_2011_2012,2011-2012 pre-drift,MAC000772,ToU,-9.902177889362644,3.3353295132016477e-17,False
pre_2011_2012,2011-2012 pre-drift,MAC000817,ToU,-2.6127115845462185,0.09039839867867056,True
pre_2011_2012,2011-2012 pre-drift,MAC000828,ToU,-5.171010832930948,1.0072729225100348e-05,False
pre_2011_2012,2011-2012 pre-drift,MAC000895,ToU,-7.295513613290719,1.3813162742077003e-10,False
pre_2011_2012,2011-2012 pre-drift,MAC000935,ToU,-7.059739913494929,5.261351088435442e-10,False
pre_2011_2012,2011-2012 pre-drift,MAC000937,ToU,-1.5396378233011834,0.5138199677131354,True
pre_2011_2012,2011-2012 pre-drift,MAC000939,ToU,-7.204101567821265,2.3243685695093254e-10,False
pre_2011_2012,2011-2012 pre-drift,MAC000945,ToU,-11.716705440139496,1.4454734295192364e-21,False
pre_2011_2012,2011-2012 pre-drift,MAC000985,ToU,-6.030027338048738,1.4252880737472069e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC001012,ToU,-3.6886970771174115,0.004274978246759319,False
pre_2011_2012,2011-2012 pre-drift,MAC001030,ToU,-3.145436982994549,0.023368325449273062,False
pre_2011_2012,2011-2012 pre-drift,MAC001091,ToU,-4.117459748983122,0.000906128142700533,False
pre_2011_2012,2011-2012 pre-drift,MAC001105,ToU,-10.313846344880583,3.1344408568394505e-18,False
pre_2011_2012,2011-2012 pre-drift,MAC001110,ToU,-2.1695920105873703,0.21746628271452362,True
pre_2011_2012,2011-2012 pre-drift,MAC001143,ToU,-1.3872071829650148,0.5883935576667668,True
