node_id,node_type,household_count,split_key,split_label,count,rmse,mae
node_std_0,Std,20,test_2012q4,Test: 2012 Q4,2160,0.1103870917294723,0.08485772079891629
node_std_0,Std,20,test_2013,Test: 2013 drift year,8712,0.10277820309480647,0.07959431010966349
node_std_0,Std,20,test_2014,Test: 2014 post-drift,1368,0.10577392300077393,0.08168650510018333
node_std_1,Std,20,test_2012q4,Test: 2012 Q4,2160,0.07745262906684718,0.058133114046520655
node_std_1,Std,20,test_2013,Test: 2013 drift year,8712,0.06871856121503785,0.052561159585187804
node_std_1,Std,20,test_2014,Test: 2014 post-drift,1368,0.076217828555046,0.058133157373171804
node_std_2,Std,20,test_2012q4,Test: 2012 Q4,2160,0.09482978798334922,0.0724656723163746
node_std_2,Std,20,test_2013,Test: 2013 drift year,8712,0.09193907431170388,0.07074386633323682
node_std_2,Std,20,test_2014,Test: 2014 post-drift,1368,0.0999191379009595,0.0775680792959113
node_tou_0,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.0995090354618949,0.07628668988192523
node_tou_0,ToU,20,test_2013,Test: 2013 drift year,8712,0.09293173849550956,0.06985123939914809
node_tou_0,ToU,20,test_2014,Test: 2014 post-drift,1368,0.09945073643455632,0.07779570211443984
node_tou_1,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.12679155289595448,0.09540755748748779
node_tou_1,ToU,20,test_2013,Test: 2013 drift year,8712,0.10386633052230937,0.07824674597620636
node_tou_1,ToU,20,test_2014,Test: 2014 post-drift,1368,0.13412219691769448,0.10265005122848421
node_tou_2,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.1074608954770521,0.08347400471016213
node_tou_2,ToU,20,test_2013,Test: 2013 drift year,8712,0.10052851417804376,0.07481122445195393
node_tou_2,ToU,20,test_2014,Test: 2014 post-drift,1368,0.12438099668195265,0.09890901554397673
node_tou_3,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.10337392490640605,0.07449990334334197
node_tou_3,ToU,20,test_2013,Test: 2013 drift year,8712,0.09731867641691466,0.06890857769082291
node_tou_3,ToU,20,test_2014,Test: 2014 post-drift,1368,0.11655409964576918,0.08599840409574452
node_tou_4,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.08227858150980254,0.05890639689233568
node_tou_4,ToU,20,test_2013,Test: 2013 drift year,8712,0.07751585042617921,0.05599965138704652
node_tou_4,ToU,20,test_2014,Test: 2014 post-drift,1368,0.09070486317916557,0.06761297147873549
node_tou_5,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.0791530000590892,0.060888502774415196
node_tou_5,ToU,20,test_2013,Test: 2013 drift year,8712,0.07416417604335859,0.056003957761056496
node_tou_5,ToU,20,test_2014,Test: 2014 post-drift,1368,0.08091602170601263,0.06255632116083513
node_tou_6,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.12241011101164123,0.09871882862514919
node_tou_6,ToU,20,test_2013,Test: 2013 drift year,8712,0.13480567637775376,0.09891610122580831
node_tou_6,ToU,20,test_2014,Test: 2014 post-drift,1368,0.13613961813362196,0.10745407963356776
