method,round,node_id,node_type,relative_change_pct,eligible_for_selective_retraining,raw_triggered,triggered
FedAvg,1,node_std_0,Std,18.214756001930553,False,True,False
FedAvg,1,node_std_1,Std,35.945320710370396,False,True,False
FedAvg,1,node_std_2,Std,-3.828464561031132,False,False,False
FedAvg,1,node_tou_0,ToU,-5.671692149286836,True,False,False
FedAvg,1,node_tou_1,ToU,-4.392116011701019,True,False,False
FedAvg,1,node_tou_2,ToU,-11.890568777636542,True,False,False
FedAvg,1,node_tou_3,ToU,-0.7604339176402043,True,False,False
FedAvg,1,node_tou_4,ToU,16.91917076492413,True,True,False
FedAvg,1,node_tou_5,ToU,1.8727274364264048,True,False,False
FedAvg,1,node_tou_6,ToU,-7.731794939443122,True,False,False
FedAvg,2,node_std_0,Std,15.471544189824925,False,True,False
FedAvg,2,node_std_1,Std,10.044041779205427,False,True,False
FedAvg,2,node_std_2,Std,2.5586679390816434,False,False,False
FedAvg,2,node_tou_0,ToU,-11.911916322945642,True,False,False
FedAvg,2,node_tou_1,ToU,-4.948057038152492,True,False,False
FedAvg,2,node_tou_2,ToU,-12.127493070850544,True,False,False
FedAvg,2,node_tou_3,ToU,-10.054335654204259,True,False,False
FedAvg,2,node_tou_4,ToU,8.730513393684518,True,True,False
FedAvg,2,node_tou_5,ToU,10.36590082682551,True,True,False
FedAvg,2,node_tou_6,ToU,4.650372076976308,True,False,False
FedAvg,3,node_std_0,Std,1.7944016534187333,False,False,False
FedAvg,3,node_std_1,Std,10.739748345595897,False,True,False
FedAvg,3,node_std_2,Std,1.6257630926323645,False,False,False
FedAvg,3,node_tou_0,ToU,-13.571352846796897,True,False,False
FedAvg,3,node_tou_1,ToU,4.290314712011685,True,False,False
FedAvg,3,node_tou_2,ToU,-7.392101849150537,True,False,False
FedAvg,3,node_tou_3,ToU,-7.63403276518317,True,False,False
FedAvg,3,node_tou_4,ToU,5.725696357263351,True,True,False
FedAvg,3,node_tou_5,ToU,6.182634926102835,True,True,False
FedAvg,3,node_tou_6,ToU,6.834367393548919,True,True,False
FedAvg,4,node_std_0,Std,10.90280686173956,False,True,False
FedAvg,4,node_std_1,Std,1.777482946755609,False,False,False
FedAvg,4,node_std_2,Std,-1.500131694195015,False,False,False
FedAvg,4,node_tou_0,ToU,-17.94181296290224,True,False,False
FedAvg,4,node_tou_1,ToU,7.260287887555631,True,True,False
FedAvg,4,node_tou_2,ToU,-5.842554590054277,True,False,False
FedAvg,4,node_tou_3,ToU,-11.76279075988903,True,False,False
FedAvg,4,node_tou_4,ToU,2.3396119234397705,True,False,False
FedAvg,4,node_tou_5,ToU,3.465606529225972,True,False,False
FedAvg,4,node_tou_6,ToU,8.644603010751418,True,True,False
FedAvg,5,node_std_0,Std,6.6038266485595365,False,True,False
FedAvg,5,node_std_1,Std,8.7193456989734,False,True,False
FedAvg,5,node_std_2,Std,-1.2892775532505336,False,False,False
FedAvg,5,node_tou_0,ToU,-24.736095861659,True,False,False
FedAvg,5,node_tou_1,ToU,7.652669310044812,True,True,False
FedAvg,5,node_tou_2,ToU,-2.328163235361964,True,False,False
FedAvg,5,node_tou_3,ToU,-11.042096673679861,True,False,False
FedAvg,5,node_tou_4,ToU,7.027976787808214,True,True,False
FedAvg,5,node_tou_5,ToU,9.514434541790964,True,True,False
FedAvg,5,node_tou_6,ToU,11.969335774819974,True,True,False
FedAvg,6,node_std_0,Std,16.855101666579973,False,True,False
FedAvg,6,node_std_1,Std,2.0877993918890896,False,False,False
