node_id,node_type,household_count,pre_mean_kwh,drift_mean_kwh,mean_shift_pct,pre_std_kwh,drift_std_kwh,std_shift_pct,ks_statistic,ks_p_value
node_std_0,Std,20,0.5214696458459821,0.4573616303850747,-12.293719485226166,0.4485720104919589,0.1770173465815999,-60.53758539516073,0.10808529229381589,2.61109685895028e-47
node_std_1,Std,20,0.38391889272390906,0.3880105442711346,1.0657593634413915,0.2033386896751447,0.15710019731411523,-22.73964312197566,0.09487428829133547,1.546294011870118e-36
node_std_2,Std,20,0.4164284605248869,0.46108564458595774,10.723854946125133,0.1612075359016439,0.15866408257133116,-1.5777508886833707,0.14308726534753932,1.072487158279341e-82
node_tou_0,ToU,20,0.4310886544507579,0.43605353041450967,1.1517064790483613,0.30497905241004564,0.226341156151234,-25.78468771457872,0.12677856699926715,5.728046181407884e-65
node_tou_1,ToU,20,0.5557871835461741,0.6089811956220101,9.57093176140446,0.4516105741931931,0.31817946118432644,-29.545613108648467,0.17720277354980551,8.037831867823626e-127
node_tou_2,ToU,20,0.30161888305579587,0.3643922124885238,20.812135101341,0.1763189423301177,0.2042800878561149,15.858276573396315,0.18952590337674052,4.0525973055377185e-145
node_tou_3,ToU,20,0.2803213616748883,0.3552045819974879,26.713347807381087,0.1466768599906763,0.18372776544955716,25.260225410631254,0.30924375669428944,4.16e-321
node_tou_4,ToU,20,0.27185163994981465,0.32816898019612895,20.716203976812793,0.35948684987142765,0.148869887699953,-58.588224366705745,0.2834446699362986,9.545e-321
node_tou_5,ToU,20,0.36597575784761993,0.417700456989937,14.133367588749831,0.17693319516564976,0.18566174392913132,4.933245429332607,0.13220869271097582,1.247870098059879e-70
node_tou_6,ToU,20,0.34383669990880467,0.44705581388775195,30.01980707886155,0.22982867331697296,0.28152082103365483,22.49160079577607,0.18912706465978915,1.6582107519872701e-144
