Node,Type,Households,Centralized RMSE 2012Q4,Centralized RMSE 2013,Centralized RMSE 2014,Centralized % Change,FedAvg RMSE 2012Q4,FedAvg RMSE 2013,FedAvg RMSE 2014,FedAvg % Change,FLAST RMSE 2012Q4,FLAST RMSE 2013,FLAST RMSE 2014,FLAST % Change,FLAST vs FedAvg % (2013),FLAST vs Centralized % (2013),FedAvg vs Centralized % (2013)
node_std_0,Std,20,0.0994214341044426,0.0926308333873748,0.0946968495845794,-6.830117447243989,0.0999644473195076,0.09316902607679367,0.09701003134250641,-6.797838056358496,0.10045851767063141,0.09354101866483688,0.09745761007070541,-6.885925819127256,-0.3992663696372672,-0.9825942876447699,-0.5810081478682124
node_std_1,Std,20,0.076054461300373,0.0701931565999984,0.0772169232368469,-7.706720421338191,0.0842769667506218,0.0759764239192009,0.08389756083488464,-9.84912384896631,0.08439267426729202,0.07601194083690643,0.08399377763271332,-9.930640903547836,-0.0467472880051676,-8.289674547715325,-8.239075715256584
node_std_2,Std,20,0.0785276368260383,0.0763074681162834,0.0858427956700325,-2.8272450305276164,0.08619645237922668,0.0826440304517746,0.09277117252349854,-4.121308742293691,0.08662907034158707,0.08307861536741257,0.09344203025102615,-4.098456742262963,-0.5258515506350625,-8.873505330842258,-8.303987135092775
node_tou_0,ToU,20,0.096278965473175,0.0840502381324768,0.0927597805857658,-12.70134891936014,0.10145464539527893,0.08818503469228745,0.09896238148212433,-13.079352504058894,0.10172738134860992,0.0884658545255661,0.09930697828531265,-13.036339525538212,-0.31844386551363024,-5.253544179291398,-4.919434675834622
node_tou_1,ToU,20,0.1096656396985054,0.0967075005173683,0.1112855076789856,-11.816043034775356,0.11467190086841583,0.09895738214254379,0.12010360509157181,-13.703896601403859,0.11519798636436462,0.0991993173956871,0.12101439386606216,-13.88797623430209,-0.24448429000962593,-2.5766531706310407,-2.326481000066194
node_tou_2,ToU,20,0.0927159115672111,0.0892588198184967,0.1020329967141151,-3.728693047695864,0.09980379790067673,0.09307019412517548,0.11123007535934448,-6.746841219612137,0.10007123649120331,0.09331172704696655,0.11171945929527283,-6.754697634650437,-0.2595169420902089,-4.540623813659233,-4.270025432141058
node_tou_3,ToU,20,0.0842451155185699,0.0748562663793563,0.0833014696836471,-11.144680711066272,0.08357691019773483,0.07362949848175049,0.07944190502166748,-11.902105129813648,0.08348120748996735,0.07351209968328476,0.0791608989238739,-11.94173887324361,0.15944533221943208,1.7956635577569133,1.6388312654932629
node_tou_4,ToU,20,0.0674807131290435,0.0659495219588279,0.0766519159078598,-2.269079710653776,0.06874984502792358,0.06665073335170746,0.07710627466440201,-3.0532602296973117,0.0662466436624527,0.06495395302772522,0.07452242821455002,-1.9513300044514552,2.5457789264351294,1.5095923390077248,-1.063254701553894
node_tou_5,ToU,20,0.0697143450379371,0.0681507214903831,0.0706623569130897,-2.2429007210827603,0.07424238324165344,0.0704663023352623,0.07481449842453003,-5.086152601136579,0.07288729399442673,0.06917154788970947,0.07331056147813797,-5.097933948544415,1.837409375324797,-1.497895219598544,-3.3977348944221353
node_tou_6,ToU,20,0.0987668111920356,0.1041169986128807,0.1069888994097709,5.416989124456474,0.10371774435043335,0.10168729722499847,0.10674121975898743,-1.9576661044368269,0.10032641887664795,0.1010846495628357,0.1016717404127121,0.7557637307078549,0.5926479300844548,2.9124437800206335,2.3336260363364385
