model,group,node_count,rmse_test_2012q4,rmse_test_2013,rmse_test_2014,mae_test_2012q4,mae_test_2013,mae_test_2014,rmse_change_2013_vs_2012_pct
Centralized Attention-LSTM,Overall,10,0.08831408913622756,0.08315766388152823,0.09107851008950259,0.06662458330392833,0.06154209524393076,0.06924134679138655,-5.838734572402551
Centralized Attention-LSTM,Std,3,0.08531411057294122,0.08027116588545166,0.0862147166939545,0.06536181767781571,0.0615244793395201,0.06640017653505,-5.911032364544174
Centralized Attention-LSTM,ToU,7,0.08956904041899694,0.08436450709739353,0.09308522813405214,0.06716576857226231,0.061549644917249624,0.07045899118695935,-5.810638695309239
FedAvg,Overall,10,0.09268751659414937,0.08525466235014349,0.0953383904583025,0.07107958868145943,0.06474585942924023,0.07391386441886424,-8.019261403401384
FedAvg,Std,3,0.09041630799685109,0.0842277075966538,0.09138971011826583,0.07064275195201238,0.06601526712377866,0.07163492341836293,-6.8445621562128185
FedAvg,ToU,7,0.09364403044703981,0.08569101831864753,0.09698147805880658,0.07126680442265101,0.06420182756015233,0.0748905534190791,-8.492812719001975
FLAST,Overall,10,0.09224293976945185,0.08510548647160444,0.0947647465841161,0.07030339911580086,0.06410262398421765,0.07317785657942295,-7.737668937792372
FLAST,Std,3,0.09077193595455492,0.08451783569956345,0.09180478102862444,0.07114575306574504,0.06634803364674251,0.07217484464248021,-6.889905111335946
FLAST,ToU,7,0.09286623736958888,0.08535609830223805,0.09600537075183153,0.0699423902801105,0.06314030555742127,0.07360771883811269,-8.087050019548004
