model,node_id,node_type,household_count,sample_count,split_key,split_label,count,rmse,mae
FedAvg,node_std_0,Std,20,44960,test_2012q4,Test: 2012 Q4,2160,0.0999644473195076,0.07833634316921234
FedAvg,node_std_0,Std,20,44960,test_2013,Test: 2013 drift year,8712,0.09316902607679367,0.07251697778701782
FedAvg,node_std_0,Std,20,44960,test_2014,Test: 2014 post-drift,1368,0.09701003134250641,0.07601367682218552
FedAvg,node_std_1,Std,20,44960,test_2012q4,Test: 2012 Q4,2160,0.0842769667506218,0.06601530313491821
FedAvg,node_std_1,Std,20,44960,test_2013,Test: 2013 drift year,8712,0.0759764239192009,0.06028588488698006
FedAvg,node_std_1,Std,20,44960,test_2014,Test: 2014 post-drift,1368,0.08389756083488464,0.06549153476953506
FedAvg,node_std_2,Std,20,44960,test_2012q4,Test: 2012 Q4,2160,0.08619645237922668,0.06757660955190659
FedAvg,node_std_2,Std,20,44960,test_2013,Test: 2013 drift year,8712,0.0826440304517746,0.0652429386973381
FedAvg,node_std_2,Std,20,44960,test_2014,Test: 2014 post-drift,1368,0.09277117252349854,0.07339955866336823
FedAvg,node_tou_0,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.10145464539527893,0.07852669805288315
FedAvg,node_tou_0,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.08818503469228745,0.06746566295623779
FedAvg,node_tou_0,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.09896238148212433,0.07761649042367935
FedAvg,node_tou_1,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.11467190086841583,0.08907870948314667
FedAvg,node_tou_1,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.09895738214254379,0.07645466923713684
FedAvg,node_tou_1,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.12010360509157181,0.09481443464756012
FedAvg,node_tou_2,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.09980379790067673,0.07767981290817261
FedAvg,node_tou_2,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.09307019412517548,0.06999240070581436
FedAvg,node_tou_2,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.11123007535934448,0.08821357041597366
FedAvg,node_tou_3,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.08357691019773483,0.06318841129541397
FedAvg,node_tou_3,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.07362949848175049,0.055495262145996094
FedAvg,node_tou_3,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.07944190502166748,0.06154562160372734
FedAvg,node_tou_4,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.06874984502792358,0.05189109593629837
FedAvg,node_tou_4,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.06665073335170746,0.050419289618730545
FedAvg,node_tou_4,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.07710627466440201,0.06069865822792053
FedAvg,node_tou_5,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.07424238324165344,0.059129565954208374
FedAvg,node_tou_5,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.0704663023352623,0.05518544837832451
FedAvg,node_tou_5,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.07481449842453003,0.059312060475349426
FedAvg,node_tou_6,ToU,20,44960,test_2012q4,Test: 2012 Q4,2160,0.10371774435043335,0.07937333732843399
FedAvg,node_tou_6,ToU,20,44960,test_2013,Test: 2013 drift year,8712,0.10168729722499847,0.07440005987882614
FedAvg,node_tou_6,ToU,20,44960,test_2014,Test: 2014 post-drift,1368,0.10674121975898743,0.08203303813934326
FLAST,node_std_0,Std,20,44960,test_2012q4,Test: 2012 Q4,2160,0.10045851767063141,0.07904107868671417
FLAST,node_std_0,Std,20,44960,test_2013,Test: 2013 drift year,8712,0.09354101866483688,0.07302350550889969
FLAST,node_std_0,Std,20,44960,test_2014,Test: 2014 post-drift,1368,0.09745761007070541,0.07659874111413956
