LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC000082,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000165,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC000198,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000293,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC000354,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000395,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000451,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC000470,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC000523,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC000561,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC000587,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC000617,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000628,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000640,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC000681,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC000755,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000772,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC000817,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000828,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC000895,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC000935,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC000937,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC000939,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC000945,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC000985,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC001012,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC001030,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC001091,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC001105,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC001110,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC001143,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC001182,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC001228,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC001318,ToU,drift_2013,2013 tariff-shift period,8424,8760,0.038356164383561646,0.0
MAC001372,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC001383,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC001437,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC001495,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC001556,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC001715,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC001756,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC001770,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC001773,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC001806,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC001823,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC001826,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC001853,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC001855,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC002040,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC002046,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC002052,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC002073,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC002102,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC002182,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC002222,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC002238,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC002265,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC002280,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC002281,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC002357,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC002418,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC002448,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC002490,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC002496,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC002552,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC002574,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC002602,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC002672,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC002798,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC002848,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC002891,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC002930,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC002932,ToU,drift_2013,2013 tariff-shift period,8640,8760,0.0136986301369863,0.0
MAC002963,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC002985,ToU,drift_2013,2013 tariff-shift period,8616,8760,0.01643835616438356,0.0
MAC003068,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC003099,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC003145,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC003151,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC003175,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC003272,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC003298,ToU,drift_2013,2013 tariff-shift period,8568,8760,0.021917808219178082,0.0
MAC003315,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC003333,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC003360,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC003387,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC003390,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC003396,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC003419,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC003541,ToU,drift_2013,2013 tariff-shift period,8616,8760,0.01643835616438356,0.0
MAC003617,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC003634,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC003648,ToU,drift_2013,2013 tariff-shift period,8640,8760,0.0136986301369863,0.0
MAC003679,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC003682,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC003738,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC003769,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC003848,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC003895,ToU,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC003911,ToU,drift_2013,2013 tariff-shift period,8592,8760,0.019178082191780823,0.0
MAC003973,ToU,drift_2013,2013 tariff-shift period,8424,8760,0.038356164383561646,0.0
MAC004000,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC004100,ToU,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC004144,ToU,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC004152,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC004155,ToU,drift_2013,2013 tariff-shift period,8592,8760,0.019178082191780823,0.0
MAC004184,ToU,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC004258,ToU,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
