LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC004974,Std,pre_2011_2012,2011-2012 pre-drift,8135,9720,0.16306584362139917,0.0
MAC004998,Std,pre_2011_2012,2011-2012 pre-drift,8135,9720,0.16306584362139917,0.0
MAC005363,Std,pre_2011_2012,2011-2012 pre-drift,7487,9720,0.22973251028806585,0.0
MAC005520,Std,pre_2011_2012,2011-2012 pre-drift,6119,9720,0.37047325102880657,0.0
MAC000048,ToU,pre_2011_2012,2011-2012 pre-drift,9335,9720,0.03960905349794239,0.0
MAC000052,ToU,pre_2011_2012,2011-2012 pre-drift,9239,9720,0.04948559670781893,0.0
MAC000082,ToU,pre_2011_2012,2011-2012 pre-drift,9239,9720,0.04948559670781893,0.0
MAC000165,ToU,pre_2011_2012,2011-2012 pre-drift,9599,9720,0.012448559670781893,0.0
MAC000198,ToU,pre_2011_2012,2011-2012 pre-drift,9431,9720,0.029732510288065842,0.0
MAC000293,ToU,pre_2011_2012,2011-2012 pre-drift,7199,9720,0.25936213991769547,0.0
MAC000354,ToU,pre_2011_2012,2011-2012 pre-drift,7055,9720,0.2741769547325103,0.0
MAC000395,ToU,pre_2011_2012,2011-2012 pre-drift,6839,9720,0.2963991769547325,0.0
MAC000451,ToU,pre_2011_2012,2011-2012 pre-drift,6743,9720,0.3062757201646091,0.0
MAC000470,ToU,pre_2011_2012,2011-2012 pre-drift,6743,9720,0.3062757201646091,0.0
MAC000523,ToU,pre_2011_2012,2011-2012 pre-drift,6671,9720,0.31368312757201644,0.0
MAC000561,ToU,pre_2011_2012,2011-2012 pre-drift,6311,9720,0.3507201646090535,0.0
MAC000587,ToU,pre_2011_2012,2011-2012 pre-drift,6263,9720,0.3556584362139918,0.0
MAC000617,ToU,pre_2011_2012,2011-2012 pre-drift,6239,9720,0.3581275720164609,0.0
MAC000628,ToU,pre_2011_2012,2011-2012 pre-drift,6143,9720,0.36800411522633747,0.0
