LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC004904,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004927,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004974,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC004998,Std,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC005363,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC005520,Std,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC000048,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000052,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000082,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000165,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000198,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000293,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000354,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC000395,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000451,ToU,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC000470,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000523,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000561,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000587,ToU,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
