LCLid,pre_2011_2012_days,drift_2013_days,post_2014_days
MAC001153,237,365,59
MAC001154,237,365,59
MAC001155,230,243,0
MAC001156,237,365,59
MAC001157,236,365,59
MAC001158,237,162,0
MAC001159,237,365,59
MAC001160,237,365,59
MAC001161,237,363,56
MAC001162,235,365,35
MAC001163,237,365,59
MAC001164,237,365,59
MAC001165,237,365,59
MAC001166,237,365,59
MAC001167,237,365,59
MAC001168,237,365,59
MAC001169,237,365,59
MAC001170,237,365,59
MAC001171,236,365,59
MAC001172,237,365,59
MAC001173,237,365,59
MAC001174,237,365,23
MAC001175,237,90,0
MAC001176,237,365,59
MAC001177,235,365,59
MAC001178,237,365,59
MAC001179,237,365,59
MAC001180,237,365,53
MAC001181,237,365,48
MAC001182,237,365,50
MAC001183,237,365,59
MAC001184,237,365,59
MAC001185,235,365,59
MAC001186,235,365,59
MAC001187,235,365,59
MAC001188,235,365,59
MAC001189,235,365,59
MAC001190,235,365,59
MAC001191,235,365,59
MAC001192,235,365,59
MAC001193,235,365,59
MAC001194,235,365,59
MAC001195,235,365,59
MAC001196,235,30,0
MAC001197,234,365,59
MAC001198,235,365,59
MAC001199,235,365,59
MAC001200,235,365,59
MAC001201,235,58,0
MAC001202,235,365,59
MAC001203,235,365,59
MAC001204,234,365,59
MAC001205,234,365,59
MAC001206,234,365,59
MAC001207,234,184,0
MAC001208,234,365,59
MAC001209,234,365,59
MAC001210,234,365,59
MAC001211,234,339,0
MAC001212,234,365,59
MAC001213,234,365,59
MAC001214,234,365,59
MAC001215,234,365,59
MAC001216,234,365,59
MAC001217,234,365,59
MAC001218,234,365,59
MAC001219,234,364,59
MAC001220,234,365,59
MAC001221,232,365,59
MAC001222,232,365,59
MAC001223,232,365,59
MAC001224,232,44,0
MAC001225,232,365,59
MAC001226,232,365,59
MAC001227,232,365,59
MAC001228,232,365,59
MAC001229,201,0,0
MAC001230,232,365,59
MAC001231,232,78,0
MAC001232,232,365,59
MAC001233,232,365,59
MAC001234,232,365,59
MAC001235,232,365,59
MAC001236,232,365,59
MAC001237,232,365,59
MAC001238,232,365,59
MAC001239,232,365,59
MAC001240,232,365,59
MAC001241,232,365,59
MAC001242,232,365,59
MAC001243,232,365,59
MAC001244,231,365,59
MAC001245,221,0,0
MAC001246,232,365,59
MAC001247,232,365,59
MAC001248,231,365,59
MAC001249,232,365,59
MAC001250,232,365,42
MAC001251,232,365,59
MAC001252,231,365,59
MAC001253,231,365,59
MAC001254,232,365,59
MAC001255,232,365,59
MAC001256,232,365,59
MAC001257,232,365,59
MAC001258,229,228,0
MAC001259,232,365,59
MAC001260,232,365,59
MAC001261,232,365,59
MAC001262,232,365,59
MAC001263,232,365,59
MAC001264,232,365,59
MAC001265,232,365,32
MAC001266,232,365,59
MAC001267,232,365,59
MAC001268,232,365,59
MAC001269,232,365,58
MAC001270,232,365,59
MAC001271,232,365,59
MAC001272,232,365,59
MAC001273,232,365,59
MAC001274,231,365,59
MAC001275,232,365,59
MAC001276,232,365,59
MAC001277,232,365,59
MAC001278,12,0,0
MAC001279,231,365,48
MAC001280,232,365,59
MAC001281,231,160,0
MAC001282,232,365,59
MAC001283,231,365,59
MAC001284,232,43,0
MAC001285,232,365,59
MAC001286,232,365,59
MAC001287,232,58,0
MAC001288,232,327,0
MAC001289,232,365,59
MAC001290,232,21,0
MAC001291,232,365,59
MAC001292,232,365,59
MAC001293,232,365,59
MAC001294,232,365,59
MAC001295,232,365,59
MAC001296,232,365,59
MAC001297,232,365,59
MAC001298,231,365,59
MAC001299,232,365,59
MAC001300,10,0,0
MAC001301,232,365,59
MAC001302,232,365,59
MAC001303,232,365,59
MAC001304,231,365,8
MAC001305,232,365,59
MAC001306,232,365,59
MAC001307,232,365,59
MAC001308,232,365,59
MAC001309,231,365,59
MAC001310,231,365,59
MAC001311,231,58,0
MAC001312,231,365,59
MAC001313,231,365,59
MAC001314,230,365,58
MAC001315,229,365,59
MAC001316,230,365,59
MAC001317,230,365,59
MAC001318,230,363,59
MAC001319,230,365,59
MAC001320,229,365,59
MAC001321,230,365,59
MAC001322,230,365,59
MAC001323,230,365,59
MAC001324,229,365,59
MAC001325,230,365,59
MAC001326,230,365,59
MAC001327,228,365,59
MAC001328,230,365,59
MAC001329,228,364,59
MAC001330,228,365,59
MAC001331,229,365,59
MAC001332,229,365,59
MAC001333,215,0,0
MAC001334,229,365,59
MAC001335,229,365,59
MAC001336,229,365,59
MAC001337,229,365,59
MAC001338,229,10,0
MAC001339,228,365,59
MAC001340,229,365,59
MAC001341,229,365,59
MAC001342,229,327,0
MAC001343,229,365,59
MAC001344,229,365,59
MAC001345,229,365,59
MAC001346,229,365,32
MAC001347,228,190,0
MAC001348,229,365,59
MAC001349,229,365,59
MAC001350,229,330,0
MAC001351,229,365,59
MAC001352,229,365,59
MAC001353,228,365,59
MAC001354,229,365,59
MAC001355,229,365,59
MAC001356,229,365,59
MAC001357,229,365,59
MAC001358,228,365,59
MAC001359,226,365,59
MAC001360,228,365,59
MAC001361,228,365,59
MAC001362,229,365,59
MAC001363,229,365,59
MAC001364,228,365,59
MAC001365,229,365,59
MAC001366,229,228,0
MAC001367,229,365,59
MAC001368,229,365,59
MAC001369,228,183,0
MAC001370,229,365,59
MAC001371,229,365,59
MAC001372,229,365,59
MAC001373,229,365,59
MAC001374,228,365,59
MAC001375,229,365,59
MAC001376,229,365,59
MAC001377,229,365,59
MAC001378,228,365,59
MAC001379,229,365,59
MAC001380,229,365,59
MAC001381,229,349,8
MAC001382,229,365,59
MAC001383,228,365,59
MAC001384,229,365,59
MAC001385,229,365,59
MAC001386,229,365,59
MAC001387,229,365,59
MAC001388,229,365,59
MAC001389,229,365,59
MAC001390,227,365,59
MAC001391,228,365,59
MAC001392,229,365,59
MAC001393,229,365,59
MAC001394,229,185,0
MAC001395,229,365,59
MAC001396,228,365,59
MAC001397,229,365,59
MAC001398,229,344,0
MAC001399,229,365,59
MAC001400,229,365,59
MAC001401,229,365,59
MAC001402,229,365,59
MAC001403,229,52,0
MAC001404,228,58,0
MAC001405,228,365,59
MAC001406,228,365,59
MAC001407,228,121,0
MAC001408,227,365,59
MAC001409,228,365,59
MAC001410,228,365,59
MAC001411,228,365,59
MAC001412,228,365,59
MAC001413,228,365,59
MAC001414,226,365,59
MAC001415,228,365,59
MAC001416,228,365,59
MAC001417,227,365,59
MAC001418,228,261,0
MAC001419,227,252,0
MAC001420,227,365,59
MAC001421,228,307,0
MAC001422,227,365,59
MAC001423,228,365,59
MAC001424,228,365,59
MAC001425,228,365,59
MAC001426,227,365,59
MAC001427,218,0,0
MAC001428,228,365,59
MAC001429,227,365,59
MAC001430,228,324,0
MAC001431,228,365,59
MAC001432,228,365,59
MAC001433,227,365,59
MAC001434,228,365,59
MAC001435,228,365,59
MAC001436,228,365,59
MAC001437,227,365,53
MAC001438,227,365,59
MAC001439,228,365,59
MAC001440,228,365,59
MAC001441,228,365,59
MAC001442,228,365,59
MAC001443,228,365,59
MAC001444,227,365,59
MAC001445,225,365,59
MAC001446,225,365,59
MAC001447,225,365,59
MAC001448,225,365,59
MAC001449,224,365,59
MAC001450,225,365,59
MAC001451,225,365,59
MAC001452,225,365,59
MAC001453,225,365,59
MAC001454,224,234,0
MAC001455,225,365,59
MAC001456,224,204,0
MAC001457,225,365,59
MAC001458,225,365,59
MAC001459,225,365,59
MAC001460,225,365,59
MAC001461,225,365,59
MAC001462,225,365,59
MAC001463,225,365,59
MAC001464,225,365,59
MAC001465,225,324,0
MAC001466,225,365,59
MAC001467,225,365,59
MAC001468,225,365,59
MAC001469,225,365,59
MAC001470,225,365,59
MAC001471,224,365,59
MAC001472,225,365,59
MAC001473,225,365,59
MAC001474,225,365,59
MAC001475,225,365,59
MAC001476,225,189,0
MAC001477,0,70,59
MAC001478,0,299,59
MAC001479,224,365,59
MAC001480,224,365,59
MAC001481,224,365,59
MAC001482,223,365,59
MAC001483,224,365,59
MAC001484,224,365,59
MAC001485,224,365,59
MAC001486,224,365,59
MAC001487,224,365,59
MAC001488,223,365,59
MAC001489,224,365,59
MAC001490,223,365,59
MAC001491,224,365,59
MAC001492,222,365,59
MAC001493,224,365,59
MAC001494,224,365,59
MAC001495,224,365,59
MAC001496,224,365,59
MAC001497,224,365,59
MAC001498,224,365,59
MAC001499,224,365,59
MAC001500,223,365,59
MAC001501,224,365,59
MAC001502,224,365,35
MAC001503,224,365,59
MAC001504,223,365,59
MAC001505,224,365,59
MAC001506,224,365,59
MAC001507,224,365,59
MAC001508,223,365,59
MAC001509,224,365,59
MAC001510,224,365,59
MAC001511,223,365,59
MAC001512,224,365,59
MAC001513,224,365,59
MAC001514,224,365,59
MAC001515,221,365,59
MAC001516,224,365,59
MAC001517,224,365,59
MAC001518,224,365,59
MAC001519,223,365,59
MAC001520,224,365,59
MAC001521,221,365,59
MAC001522,223,365,59
MAC001523,224,365,59
MAC001524,224,365,59
MAC001525,224,365,59
MAC001526,224,365,59
MAC001527,224,365,59
MAC001528,223,365,59
MAC001529,223,365,59
MAC001530,224,365,59
MAC001531,224,365,59
MAC001532,224,365,59
MAC001533,224,365,59
MAC001534,224,365,59
MAC001535,224,365,59
MAC001536,224,365,59
MAC001537,223,269,0
MAC001538,224,365,59
MAC001539,224,365,59
MAC001540,224,365,59
MAC001541,224,365,59
MAC001542,224,365,59
MAC001543,224,365,59
MAC001544,224,365,59
MAC001545,224,365,59
MAC001546,224,365,59
MAC001547,224,365,59
MAC001548,224,365,59
MAC001549,224,365,59
MAC001550,224,365,59
MAC001551,223,365,59
MAC001552,223,365,59
MAC001553,224,365,59
MAC001554,224,365,59
MAC001555,224,365,59
MAC001556,224,365,59
MAC001557,224,365,59
MAC001558,224,365,59
MAC001559,224,365,59
MAC001560,224,365,59
MAC001561,224,365,59
MAC001562,224,365,59
MAC001563,224,365,59
MAC001564,224,365,59
MAC001565,222,365,22
MAC001566,223,365,59
MAC001567,223,365,59
MAC001568,223,365,59
MAC001569,223,365,59
MAC001570,223,365,59
MAC001571,223,365,59
MAC001572,223,365,59
MAC001573,223,365,59
MAC001574,223,365,32
MAC001575,221,365,59
MAC001576,221,365,59
MAC001577,221,94,0
MAC001578,221,365,59
MAC001579,221,365,59
MAC001580,219,365,59
MAC001581,221,365,59
MAC001582,220,52,0
MAC001583,221,365,59
MAC001584,221,365,59
MAC001585,221,365,59
MAC001586,221,365,59
MAC001587,221,365,59
MAC001588,221,365,59
MAC001589,221,365,59
MAC001590,221,365,59
MAC001591,221,365,59
MAC001592,220,365,59
MAC001593,220,365,59
MAC001594,220,365,59
MAC001595,221,365,59
MAC001596,221,273,0
MAC001597,221,365,59
MAC001598,220,365,59
MAC001599,221,90,0
MAC001600,221,365,59
MAC001601,220,365,59
MAC001602,221,365,59
MAC001603,220,365,59
MAC001604,221,365,59
MAC001605,221,365,59
MAC001606,221,365,59
MAC001607,221,365,59
MAC001608,221,365,59
MAC001609,221,365,59
MAC001610,220,365,59
MAC001611,221,365,59
MAC001612,221,365,59
MAC001613,221,365,59
MAC001614,221,365,59
MAC001615,220,365,59
MAC001616,220,365,59
MAC001617,217,365,59
MAC001618,220,365,59
MAC001619,220,365,59
MAC001620,220,365,59
MAC001621,220,365,59
MAC001622,220,365,59
MAC001623,220,365,59
MAC001624,220,365,59
MAC001625,220,365,59
MAC001626,220,365,59
MAC001627,219,365,59
MAC001628,218,365,59
MAC001629,217,49,0
MAC001630,218,365,59
MAC001631,217,365,59
MAC001632,217,365,18
MAC001633,201,0,0
MAC001634,217,358,56
MAC001635,218,365,59
MAC001636,217,365,59
MAC001637,218,365,59
MAC001638,217,365,59
MAC001639,218,365,59
MAC001640,218,365,59
MAC001641,218,365,59
MAC001642,218,365,59
MAC001643,218,365,59
MAC001644,217,228,0
MAC001645,218,365,59
MAC001646,218,365,59
MAC001647,216,365,59
MAC001648,218,365,59
MAC001649,216,365,59
MAC001650,217,365,59
MAC001651,218,365,59
MAC001652,218,365,59
MAC001653,0,61,40
MAC001654,218,157,0
MAC001655,218,365,59
MAC001656,218,365,59
MAC001657,216,365,59
MAC001658,217,365,59
MAC001659,218,365,59
MAC001660,218,365,59
MAC001661,218,365,59
MAC001662,217,365,59
MAC001663,218,364,58
MAC001664,218,365,59
MAC001665,215,365,59
MAC001666,218,365,59
MAC001667,217,365,59
MAC001668,218,365,59
MAC001669,218,365,59
MAC001670,218,365,59
MAC001671,218,94,0
MAC001672,218,365,59
MAC001673,216,365,59
MAC001674,216,365,59
MAC001675,216,365,59
MAC001676,217,365,59
MAC001677,216,365,59
MAC001678,217,365,59
MAC001679,217,365,59
MAC001680,214,365,59
MAC001681,216,365,59
MAC001682,217,365,59
MAC001683,216,365,59
MAC001684,216,365,59
MAC001685,214,365,59
MAC001686,217,365,59
MAC001687,217,365,59
MAC001688,216,365,59
MAC001689,217,365,59
MAC001690,216,365,8
MAC001691,217,365,59
MAC001692,216,365,59
MAC001693,216,365,59
MAC001694,217,365,59
MAC001695,216,365,59
MAC001696,217,365,59
MAC001697,217,365,59
MAC001698,217,365,59
MAC001699,217,365,59
MAC001700,200,0,0
MAC001701,217,365,59
MAC001702,216,365,59
MAC001703,216,365,59
MAC001704,217,365,59
MAC001705,214,365,59
MAC001706,214,365,59
MAC001707,213,365,59
MAC001708,211,365,59
MAC001709,214,359,0
MAC001710,214,365,59
MAC001711,214,365,59
MAC001712,214,123,0
MAC001713,214,365,59
MAC001714,214,365,59
MAC001715,165,365,59
MAC001716,213,365,32
MAC001717,213,354,59
MAC001718,214,365,59
MAC001719,213,365,59
MAC001720,213,365,59
MAC001721,214,365,59
MAC001722,213,365,59
MAC001723,213,364,59
MAC001724,213,365,59
MAC001725,213,365,59
MAC001726,214,361,59
MAC001727,213,365,59
MAC001728,214,365,59
MAC001729,214,365,59
MAC001730,214,365,59
MAC001731,212,365,59
MAC001732,214,365,59
MAC001733,214,365,59
MAC001734,214,365,59
MAC001735,214,365,59
MAC001736,214,343,0
MAC001737,214,365,59
MAC001738,213,365,59
MAC001739,214,365,59
MAC001740,214,365,59
MAC001741,213,365,59
MAC001742,212,365,59
MAC001743,212,365,59
MAC001744,213,365,59
MAC001745,213,365,59
MAC001746,210,365,59
MAC001747,212,365,59
MAC001748,213,58,0
MAC001749,213,365,59
MAC001750,213,365,59
MAC001751,213,365,59
MAC001752,210,364,59
MAC001753,213,365,59
MAC001754,213,365,59
MAC001755,213,365,59
MAC001756,213,365,59
MAC001757,213,365,59
MAC001758,213,365,59
MAC001759,213,365,59
MAC001760,213,365,59
MAC001761,213,365,59
MAC001762,213,327,0
MAC001763,213,327,45
MAC001764,213,365,59
MAC001765,213,365,59
MAC001766,208,365,59
MAC001767,209,365,59
MAC001768,209,365,59
MAC001769,209,365,59
MAC001770,209,365,59
MAC001771,208,365,59
MAC001772,207,365,59
MAC001773,207,365,59
MAC001774,188,311,59
MAC001775,209,365,59
MAC001776,208,365,59
MAC001777,209,273,0
MAC001778,209,365,59
MAC001779,209,365,59
MAC001780,209,365,59
MAC001781,209,365,59
MAC001782,209,365,59
MAC001783,206,353,0
MAC001784,209,365,59
MAC001785,209,365,59
MAC001786,208,365,59
MAC001787,209,365,59
MAC001788,209,322,0
MAC001789,209,365,59
MAC001790,207,365,59
MAC001791,209,185,0
MAC001792,209,365,59
MAC001793,209,365,59
MAC001794,209,365,59
MAC001795,209,365,59
MAC001796,208,365,59
MAC001797,209,365,45
MAC001798,209,365,59
MAC001799,208,365,59
MAC001800,209,365,59
MAC001801,209,365,59
MAC001802,208,363,59
MAC001803,209,365,59
MAC001804,209,365,59
MAC001805,209,365,59
MAC001806,209,365,59
MAC001807,209,365,59
MAC001808,209,365,59
MAC001809,209,365,59
MAC001810,209,365,59
MAC001811,209,365,59
MAC001812,209,365,59
MAC001813,209,365,59
MAC001814,209,365,59
MAC001815,208,365,59
MAC001816,208,365,59
MAC001817,206,365,59
MAC001818,208,365,59
MAC001819,206,365,59
MAC001820,207,101,0
MAC001821,208,365,59
MAC001822,208,365,59
MAC001823,208,365,59
MAC001824,208,365,8
MAC001825,208,365,59
MAC001826,208,365,59
MAC001827,208,365,59
MAC001828,207,365,59
MAC001829,206,365,59
MAC001830,208,365,59
MAC001831,208,365,59
MAC001832,208,185,0
MAC001833,207,365,59
MAC001834,208,365,59
MAC001835,207,365,59
MAC001836,208,365,59
MAC001837,208,365,59
MAC001838,208,365,59
MAC001839,208,365,59
MAC001840,207,365,59
MAC001841,198,360,58
MAC001842,208,365,59
MAC001843,207,360,59
MAC001844,208,365,59
MAC001845,208,365,59
MAC001846,208,229,0
MAC001847,208,365,59
MAC001848,208,365,59
MAC001849,207,365,59
MAC001850,208,365,59
MAC001851,207,365,59
MAC001852,207,365,59
MAC001853,208,365,59
MAC001854,208,365,59
MAC001855,206,365,59
MAC001856,207,365,59
MAC001857,208,365,59
MAC001858,208,365,59
MAC001859,206,365,59
MAC001860,208,365,59
MAC001861,208,365,59
MAC001862,208,365,59
MAC001863,208,365,59
MAC001864,208,365,59
MAC001865,208,365,59
MAC001866,206,365,59
MAC001867,206,365,59
MAC001868,204,365,59
MAC001869,207,365,59
MAC001870,207,32,0
MAC001871,206,365,59
MAC001872,207,365,59
MAC001873,207,365,59
MAC001874,207,365,59
MAC001875,207,365,59
MAC001876,207,365,59
MAC001877,206,365,59
MAC001878,206,365,59
MAC001879,207,365,35
MAC001880,207,365,59
MAC001881,207,365,59
MAC001882,207,365,59
MAC001883,207,365,59
MAC001884,207,365,59
MAC001885,207,365,59
MAC001886,205,365,59
MAC001887,207,10,0
MAC001888,207,365,59
MAC001889,205,189,0
MAC001890,207,365,59
MAC001891,206,365,59
MAC001892,207,365,59
MAC001893,206,365,59
MAC001894,207,365,59
MAC001895,207,365,59
MAC001896,207,365,59
MAC001897,207,365,59
MAC001898,207,365,59
MAC001899,207,365,59
MAC001900,207,365,59
MAC001901,207,52,0
MAC001902,207,254,0
MAC001903,206,365,59
MAC001904,207,365,59
MAC001905,207,365,59
MAC001906,205,365,59
MAC001907,206,365,59
MAC001908,205,162,0
MAC001909,205,365,59
MAC001910,206,13,0
MAC001911,206,365,59
MAC001912,206,221,0
MAC001913,206,365,59
MAC001914,206,365,59
MAC001915,206,365,59
MAC001916,205,365,59
MAC001917,206,365,59
MAC001918,206,365,59
MAC001919,206,365,59
MAC001920,206,365,59
MAC001921,205,83,0
MAC001922,205,365,59
MAC001923,206,365,59
MAC001924,205,327,0
MAC001925,206,365,36
MAC001926,205,365,59
MAC001927,206,365,59
MAC001928,206,365,59
MAC001929,206,365,59
MAC001930,206,365,59
MAC001931,206,365,59
MAC001932,204,365,59
MAC001933,204,365,59
MAC001934,201,365,59
MAC001935,204,365,59
MAC001936,204,365,59
MAC001937,204,365,59
MAC001938,204,365,59
MAC001939,204,365,59
MAC001940,204,365,59
MAC001941,204,365,59
MAC001942,204,365,59
MAC001943,203,365,59
MAC001944,204,365,59
MAC001945,204,365,59
MAC001946,204,365,59
MAC001947,204,365,59
MAC001948,204,345,59
MAC001949,204,365,59
MAC001950,204,365,59
MAC001951,204,365,59
MAC001952,202,364,59
MAC001953,204,365,59
MAC001954,204,365,59
MAC001955,204,365,59
MAC001956,203,365,59
MAC001957,17,0,0
MAC001958,203,365,59
MAC001959,204,234,0
MAC001960,204,365,59
MAC001961,203,365,59
MAC001962,204,365,59
MAC001963,204,365,59
MAC001964,204,365,59
MAC001965,204,365,59
MAC001966,204,365,59
MAC001967,204,365,59
MAC001968,204,295,0
MAC001969,204,365,59
MAC001970,204,365,23
MAC001971,204,365,59
MAC001972,203,365,59
MAC001973,202,365,59
MAC001974,201,365,59
MAC001975,203,365,59
MAC001976,202,365,59
MAC001977,203,365,59
MAC001978,203,365,59
MAC001979,203,365,59
MAC001980,203,365,59
MAC001981,203,365,59
MAC001982,202,365,59
MAC001983,203,365,59
MAC001984,203,365,59
MAC001985,203,365,59
MAC001986,202,365,59
MAC001987,203,204,0
MAC001988,203,365,59
MAC001989,203,365,59
MAC001990,203,365,59
MAC001991,203,365,59
MAC001992,203,365,59
MAC001993,203,365,59
MAC001994,203,365,59
MAC001995,203,365,59
MAC001996,202,365,59
MAC001997,203,365,59
MAC001998,203,365,59
MAC001999,202,365,59
MAC002000,203,365,59
MAC002001,203,365,59
MAC002002,203,365,59
MAC002003,203,365,59
MAC002004,203,234,0
MAC002005,202,365,59
MAC002006,200,365,59
MAC002007,202,365,59
MAC002008,202,365,59
MAC002009,203,365,59
MAC002010,203,365,59
MAC002011,202,365,59
MAC002012,201,365,59
MAC002013,201,365,59
MAC002014,180,0,0
MAC002015,202,365,59
MAC002016,201,365,59
MAC002017,200,365,59
MAC002018,201,28,0
MAC002019,202,244,0
MAC002020,202,365,59
MAC002021,201,365,59
MAC002022,201,365,59
MAC002023,201,365,45
MAC002024,202,16,0
MAC002025,200,365,59
MAC002026,201,365,59
MAC002027,198,365,59
MAC002028,202,365,59
MAC002029,202,365,59
MAC002030,200,365,59
MAC002031,202,239,0
MAC002032,201,365,59
MAC002033,201,365,59
MAC002034,200,365,59
MAC002035,199,365,58
MAC002036,201,365,59
MAC002037,201,365,59
MAC002038,202,365,59
MAC002039,200,365,59
MAC002040,201,365,59
MAC002041,202,365,59
MAC002042,200,365,59
MAC002043,201,365,59
MAC002044,201,365,59
MAC002045,201,365,59
MAC002046,198,365,59
MAC002047,200,365,59
MAC002048,201,365,59
MAC002049,201,365,59
MAC002050,200,365,59
MAC002051,201,365,59
MAC002052,200,365,59
MAC002053,200,365,59
MAC002054,201,365,59
MAC002055,199,365,59
MAC002056,199,312,32
MAC002057,198,365,59
MAC002058,201,365,59
MAC002059,201,365,59
MAC002060,200,365,59
MAC002061,199,365,59
MAC002062,201,365,59
MAC002063,201,365,59
MAC002064,201,365,59
MAC002065,200,365,59
MAC002066,200,365,59
MAC002067,200,365,59
MAC002068,201,361,8
MAC002069,200,365,59
MAC002070,200,365,59
MAC002071,200,365,59
MAC002072,200,365,59
MAC002073,200,365,59
MAC002074,199,365,59
MAC002075,199,365,59
MAC002076,198,365,59
MAC002077,198,365,59
MAC002078,198,365,59
MAC002079,200,365,59
MAC002080,198,365,59
MAC002081,198,303,0
MAC002082,200,365,59
MAC002083,200,365,59
MAC002084,198,365,59
MAC002085,200,365,59
MAC002086,198,365,59
MAC002087,200,365,59
MAC002088,200,365,59
MAC002089,199,365,59
MAC002090,199,365,59
MAC002091,199,365,59
MAC002092,199,62,0
MAC002093,198,230,0
MAC002094,198,365,59
MAC002095,199,365,59
MAC002096,198,365,59
MAC002097,198,49,0
MAC002098,198,365,59
MAC002099,198,365,59
MAC002100,198,365,59
MAC002101,198,365,59
MAC002102,199,365,59
MAC002103,198,365,59
MAC002104,198,365,59
MAC002105,199,107,0
MAC002106,198,365,59
MAC002107,198,365,59
MAC002108,198,365,59
MAC002109,198,365,59
MAC002110,12,0,0
MAC002111,198,365,59
MAC002112,198,365,59
MAC002113,197,365,59
MAC002114,197,365,59
MAC002115,197,365,59
MAC002116,197,365,59
MAC002117,197,365,59
MAC002118,197,365,59
MAC002119,197,365,59
MAC002120,197,365,59
MAC002121,197,365,59
MAC002122,197,365,59
MAC002123,197,365,59
MAC002124,197,365,59
MAC002125,197,365,59
MAC002126,197,365,59
MAC002127,197,365,59
MAC002128,197,365,59
MAC002129,197,365,59
MAC002130,197,365,59
MAC002131,190,365,59
MAC002132,197,365,59
MAC002133,197,365,59
MAC002134,197,365,59
MAC002135,197,365,59
MAC002136,197,365,59
MAC002137,197,365,59
MAC002138,197,365,59
MAC002139,197,365,59
MAC002140,197,100,0
MAC002141,196,365,59
MAC002142,196,365,59
MAC002143,196,365,59
MAC002144,196,365,59
MAC002145,196,365,59
MAC002146,196,365,59
MAC002147,196,365,59
MAC002148,196,365,59
MAC002149,196,365,59
MAC002150,196,365,59
MAC002151,196,365,59
MAC002152,196,365,59
MAC002153,196,365,59
MAC002154,196,365,59
MAC002155,177,0,0
MAC002156,196,365,59
MAC002157,196,363,59
MAC002158,196,365,59
MAC002159,195,365,59
MAC002160,195,365,59
MAC002161,195,365,59
MAC002162,195,365,59
MAC002163,195,365,59
MAC002164,195,365,59
MAC002165,195,365,59
MAC002166,194,365,59
MAC002167,195,365,59
MAC002168,195,365,59
MAC002169,194,58,0
MAC002170,194,365,59
MAC002171,194,171,0
MAC002172,194,365,59
MAC002173,194,365,59
MAC002174,194,365,59
MAC002175,194,364,59
MAC002176,193,365,59
MAC002177,193,364,59
MAC002178,193,365,59
MAC002179,193,365,59
MAC002180,193,365,59
MAC002181,193,365,59
MAC002182,193,365,59
MAC002183,192,365,59
MAC002184,192,365,59
MAC002185,192,365,59
MAC002186,192,365,59
MAC002187,192,288,0
MAC002188,192,365,59
MAC002189,192,365,59
MAC002190,192,365,8
MAC002191,192,365,59
MAC002192,192,365,59
MAC002193,192,365,59
MAC002194,192,365,59
MAC002195,192,365,59
MAC002196,192,365,59
MAC002197,192,365,59
MAC002198,190,365,59
MAC002199,190,365,59
MAC002200,190,165,0
MAC002201,190,365,59
MAC002202,190,365,59
MAC002203,190,365,59
MAC002204,189,365,59
MAC002205,188,365,59
MAC002206,189,363,59
MAC002207,189,49,0
MAC002208,189,365,59
MAC002209,189,365,59
MAC002210,187,365,59
MAC002211,187,365,59
MAC002212,188,365,59
MAC002213,187,365,59
MAC002214,186,365,59
MAC002215,186,239,0
MAC002216,186,365,59
MAC002217,186,365,59
MAC002218,185,359,59
MAC002219,185,365,59
MAC002220,185,365,59
MAC002221,185,365,59
MAC002222,186,365,59
MAC002223,184,365,59
MAC002224,185,365,59
MAC002225,255,365,59
MAC002226,255,365,59
MAC002227,244,0,0
MAC002228,255,365,48
MAC002229,255,365,59
MAC002230,255,365,59
MAC002231,255,365,59
MAC002232,254,365,59
MAC002233,255,365,59
MAC002234,255,198,0
MAC002235,255,365,59
MAC002236,255,365,59
MAC002237,255,365,59
MAC002238,255,365,59
MAC002239,255,365,59
MAC002240,254,365,59
MAC002241,255,365,59
MAC002242,255,365,59
MAC002243,255,365,59
MAC002244,253,365,59
MAC002245,253,365,59
MAC002246,253,365,59
MAC002247,252,331,45
MAC002248,253,365,59
MAC002249,253,365,45
MAC002250,253,365,59
MAC002251,252,365,59
MAC002252,253,365,59
MAC002253,253,365,59
MAC002254,253,365,59
MAC002255,253,365,59
MAC002256,253,365,59
MAC002257,252,365,59
MAC002258,253,365,59
MAC002259,253,365,59
MAC002260,250,286,0
MAC002261,253,365,59
MAC002262,253,365,59
MAC002263,252,365,59
MAC002264,251,365,59
MAC002265,253,365,59
MAC002266,253,365,59
MAC002267,253,365,59
MAC002268,250,365,59
MAC002269,253,365,59
MAC002270,253,365,59
MAC002271,253,365,59
MAC002272,253,365,59
MAC002273,252,363,59
MAC002274,250,365,59
MAC002275,190,0,0
MAC002276,253,365,59
MAC002277,253,365,59
MAC002278,253,365,59
MAC002279,250,365,59
MAC002280,253,365,59
MAC002281,253,365,59
MAC002282,253,365,59
MAC002283,250,365,59
MAC002284,252,365,59
MAC002285,253,365,59
MAC002286,253,365,59
MAC002287,253,365,59
MAC002288,253,365,59
MAC002289,253,365,59
MAC002290,253,365,59
MAC002291,253,365,59
MAC002292,253,365,59
MAC002293,252,365,59
MAC002294,248,325,59
MAC002295,252,365,59
MAC002296,252,365,59
MAC002297,251,363,59
MAC002298,252,124,0
MAC002299,252,365,59
MAC002300,252,365,59
MAC002301,251,365,59
MAC002302,251,365,59
MAC002303,252,365,59
MAC002304,251,365,59
MAC002305,252,365,59
MAC002306,251,365,59
MAC002307,250,365,59
MAC002308,252,365,59
MAC002309,252,365,59
MAC002310,252,365,59
MAC002311,250,365,59
MAC002312,252,365,59
MAC002313,251,58,0
MAC002314,252,365,59
MAC002315,252,365,59
MAC002316,252,365,59
