LCLid,pre_2011_2012_days,drift_2013_days,post_2014_days
MAC000232,397,365,59
MAC000233,397,365,59
MAC000234,397,365,59
MAC000235,397,365,32
MAC000236,397,365,59
MAC000237,387,358,59
MAC000238,396,365,59
MAC000239,396,365,59
MAC000240,396,287,0
MAC000241,396,52,0
MAC000242,396,365,59
MAC000243,396,365,59
MAC000244,396,365,59
MAC000245,396,365,59
MAC000246,395,365,59
MAC000247,395,365,59
MAC000248,395,365,59
MAC000249,146,365,59
MAC000250,395,365,59
MAC000251,395,365,59
MAC000252,395,365,59
MAC000253,395,365,59
MAC000254,395,365,59
MAC000255,395,365,59
MAC000256,393,365,59
MAC000257,393,365,59
MAC000258,393,365,59
MAC000259,393,364,59
MAC000260,393,365,59
MAC000261,393,365,59
MAC000262,393,365,59
MAC000263,393,365,59
MAC000264,393,365,59
MAC000265,393,365,59
MAC000266,393,365,59
MAC000267,393,365,59
MAC000268,393,365,59
MAC000269,393,365,59
MAC000270,393,365,59
MAC000271,393,365,59
MAC000272,392,365,59
MAC000273,392,365,59
MAC000274,392,365,59
MAC000275,304,365,59
MAC000276,307,365,59
MAC000277,307,365,59
MAC000278,307,365,59
MAC000279,307,365,59
MAC000280,306,365,59
MAC000281,306,365,59
MAC000282,306,365,59
MAC000283,306,365,59
MAC000284,306,257,0
MAC000285,306,365,59
MAC000286,306,365,59
MAC000287,306,343,0
MAC000288,306,365,59
MAC000289,305,365,59
MAC000290,305,365,59
MAC000291,305,365,59
MAC000292,305,365,59
MAC000293,305,365,59
MAC000294,305,365,59
MAC000295,305,365,59
MAC000296,305,365,59
MAC000297,305,365,59
MAC000298,305,365,59
MAC000299,299,363,59
MAC000300,304,365,59
MAC000301,304,365,59
MAC000302,302,365,59
MAC000303,302,365,59
MAC000304,302,365,59
MAC000305,302,365,59
MAC000306,302,365,59
MAC000307,302,365,59
MAC000308,302,365,59
MAC000309,301,365,59
MAC000310,302,365,59
MAC000311,301,365,59
MAC000312,301,365,59
MAC000313,301,365,54
MAC000314,301,365,59
MAC000315,281,365,59
MAC000316,301,365,59
MAC000317,301,365,59
MAC000318,301,365,59
MAC000319,301,365,59
MAC000320,301,365,59
MAC000321,301,365,59
MAC000322,301,365,59
MAC000323,301,365,59
MAC000324,301,365,59
MAC000325,300,327,0
MAC000326,300,365,59
MAC000327,300,365,59
MAC000328,300,365,59
MAC000329,300,365,59
MAC000330,300,365,58
MAC000331,300,365,59
MAC000332,300,365,59
MAC000333,300,365,59
MAC000334,300,365,59
MAC000335,300,365,30
MAC000336,299,273,0
MAC000337,299,365,59
MAC000338,299,327,0
MAC000339,299,365,59
MAC000340,299,365,59
MAC000341,299,365,59
MAC000342,299,365,59
MAC000343,299,365,59
MAC000344,299,365,59
MAC000345,298,365,59
MAC000346,298,365,59
MAC000347,298,365,59
MAC000348,298,365,59
MAC000349,298,365,59
MAC000350,298,365,59
MAC000351,298,365,59
MAC000352,298,365,59
MAC000353,298,365,59
MAC000354,298,365,59
MAC000355,297,365,59
MAC000356,297,49,0
MAC000357,297,365,59
MAC000358,297,142,0
MAC000359,297,365,59
MAC000360,297,365,59
MAC000361,297,365,59
MAC000362,295,365,59
MAC000363,295,365,59
MAC000364,295,365,59
MAC000365,295,365,59
MAC000366,295,365,59
MAC000367,295,365,59
MAC000368,295,365,59
MAC000369,295,365,59
MAC000370,295,365,59
MAC000371,295,365,59
MAC000372,295,365,59
MAC000373,295,365,59
MAC000374,295,365,59
MAC000375,295,365,59
MAC000376,295,365,59
MAC000377,295,365,59
MAC000378,295,365,59
MAC000379,295,212,0
MAC000380,294,365,59
MAC000381,294,365,59
MAC000382,294,365,59
MAC000383,294,365,59
MAC000384,294,365,59
MAC000385,294,365,59
MAC000386,294,365,59
MAC000387,294,365,59
MAC000388,294,365,59
MAC000389,294,365,59
MAC000390,294,365,59
MAC000391,294,365,59
MAC000392,294,365,59
MAC000393,281,0,0
MAC000394,294,365,59
MAC000395,294,365,59
MAC000396,294,365,59
MAC000397,294,365,59
MAC000398,294,356,59
MAC000399,293,323,0
MAC000400,293,365,59
MAC000401,293,365,59
MAC000402,293,365,59
MAC000403,293,365,59
MAC000404,293,365,59
MAC000405,286,365,59
MAC000406,286,365,59
MAC000407,286,365,59
MAC000408,286,365,59
MAC000409,286,365,59
MAC000410,191,0,0
MAC000411,286,365,59
MAC000412,286,365,59
MAC000413,286,365,59
MAC000414,286,365,59
MAC000415,286,365,59
MAC000416,286,365,59
MAC000417,286,365,59
MAC000418,286,365,59
MAC000419,286,364,59
MAC000420,286,365,59
MAC000421,286,365,59
MAC000422,286,365,59
MAC000423,286,365,59
MAC000424,286,365,59
MAC000425,286,365,59
MAC000426,286,365,59
MAC000427,286,365,59
MAC000428,286,365,59
MAC000429,286,365,59
MAC000430,283,362,59
MAC000431,285,365,59
