block,households_loaded,raw_halfhour_missing,raw_halfhour_total,raw_halfhour_missing_rate,hourly_missing_before_fill,hourly_total,hourly_missing_rate_before_fill
block_103,1,1,33984,2.9425612052730696e-05,1,16992,5.885122410546139e-05
block_110,1,1,30816,3.245067497403946e-05,1,15408,6.490134994807892e-05
block_17,1,1,31728,3.151790216843167e-05,1,15864,6.303580433686334e-05
block_35,1,1,30768,3.2501300052002083e-05,1,15384,6.500260010400417e-05
block_38,1,1,28656,3.489670575097711e-05,1,14328,6.979341150195422e-05
block_64,1,1,24432,4.0929927963326786e-05,1,12216,8.185985592665357e-05
block_8,1,1,37296,2.6812526812526813e-05,1,18648,5.3625053625053626e-05
block_94,1,1,31536,3.1709791983764585e-05,1,15768,6.341958396752917e-05
