LCLid,stdorToU,first_timestamp,last_timestamp,observed_hours,missing_hours
MAC000926,Std,2012-05-02,2014-02-27 23:00:00,15815,1
MAC002546,Std,2012-07-10,2014-02-27 23:00:00,14279,1
MAC003623,Std,2012-10-12,2014-02-27 23:00:00,12047,1
MAC005446,Std,2012-04-17,2014-02-27 23:00:00,16271,1
MAC001410,ToU,2012-05-19,2014-02-27 23:00:00,15551,1
MAC001487,ToU,2012-05-23,2014-02-27 23:00:00,15335,1
MAC002508,ToU,2012-07-08,2014-02-27 23:00:00,14375,1
MAC005537,ToU,2012-04-18,2014-02-27 23:00:00,16199,1
