LCLid,stdorToU,first_timestamp,last_timestamp,observed_hours,missing_hours
MAC000989,Std,2012-05-03,2014-02-27 23:00:00,15767,1
MAC004067,Std,2012-05-19,2014-02-27 23:00:00,15407,1
MAC004405,Std,2012-03-20,2014-02-27 23:00:00,16991,1
MAC004887,Std,2012-01-13,2014-02-27 23:00:00,18647,1
MAC001030,ToU,2012-05-03,2014-02-27 23:00:00,15863,1
MAC002930,ToU,2012-07-03,2014-02-27 23:00:00,14327,1
MAC003298,ToU,2012-09-25,2014-02-27 23:00:00,12215,1
MAC004144,ToU,2012-05-22,2014-02-27 23:00:00,15383,1
