Model,rmse_test_2012q4,rmse_test_2013,rmse_test_2014,mae_test_2012q4,mae_test_2013,mae_test_2014,count_test_2012q4,count_test_2013,count_test_2014
PlainLSTM,0.3612572172484781,0.35598918091188203,0.38556901097593854,0.17586047626100482,0.1674215903831646,0.1919160609296523,432000.0,1742400.0,273600.0
AttentionLSTM,0.34708578972334037,0.34100336378622725,0.3647602570118732,0.17137707568472252,0.16240362903801725,0.1834260956326034,432000.0,1742400.0,273600.0
Attention Improvement %,3.9228081401597037,4.209627126101963,5.396894815637534,2.549407730266931,2.9972008590189176,4.423790930223884,,,
