window_key,window_label,stdorToU,mean_kwh,std_kwh,median_kwh,min_kwh,max_kwh,sample_count
drift_2013,2013 tariff-shift period,Std,0.2331548,0.2847773,0.138,0.0,3.876,35040
drift_2013,2013 tariff-shift period,ToU,0.36707538,1.0703657,0.077,0.0,6.547,35040
post_2014,2014 post-drift (Jan-Feb only),Std,0.2545881,0.3121055,0.136,0.0,2.721,5664
post_2014,2014 post-drift (Jan-Feb only),ToU,0.16120957,0.21353497,0.104,0.0,2.783,5664
pre_2011_2012,2011-2012 pre-drift,Std,0.24081413,0.2834914,0.144,0.0,3.47,38880
pre_2011_2012,2011-2012 pre-drift,ToU,0.118803814,0.15110289,0.082,0.0,4.802,38880
