LCLid,stdorToU,Acorn,Acorn_grouped,file,pre_2011_2012_days,drift_2013_days,post_2014_days,pre_mean,pre_std,drift_mean,drift_std,mean_shift_pct,std_shift_pct,shift_score
MAC001980,Std,ACORN-D,Affluent,block_11,203,365,59,0.09637338372986756,0.028098224825302276,0.09619253740406097,0.028408228487474436,0.18765173412764735,1.1032855780020814,1.2909373121297287
MAC002071,Std,ACORN-G,Comfortable,block_58,200,365,59,0.1654804000234929,0.05107256645715325,0.16513032282655685,0.051608516230882306,0.21155206108176877,1.049388763689177,1.2609408247709457
MAC002191,Std,ACORN-Q,Adversity,block_110,192,365,59,0.21529929828920716,0.04155025103485471,0.21328693169396462,0.04164587769730091,0.9346833042341672,0.23014701491449346,1.1648303191486606
MAC002244,Std,ACORN-E,Affluent,block_15,253,365,59,0.0925007927914669,0.024803270010152933,0.09156978375975228,0.024982046631498937,1.0064876241801377,0.7207784347500321,1.7272660589301698
MAC002669,Std,ACORN-H,Comfortable,block_68,242,365,59,0.26146401378028,0.07563717035844192,0.26169129301681193,0.07365620340166383,0.08692562821395483,2.619038955833956,2.705964584047911
MAC002684,Std,ACORN-F,Comfortable,block_50,242,365,59,0.06832177134989348,0.026123637281677218,0.06749519545915429,0.025922382610389618,1.2098279573374608,0.7703929935849985,1.9802209509224593
MAC002704,Std,ACORN-H,Comfortable,block_68,240,365,59,0.22046575110134875,0.047958254131294134,0.2222585978220635,0.04728177681703786,0.8132087236944915,1.4105545051834043,2.2237632288778957
MAC002734,Std,ACORN-O,Adversity,block_90,238,365,59,0.16298951479527976,0.03535635920749711,0.1639988679249989,0.035754756730721676,0.6192748846371643,1.1268058480978769,1.7460807327350412
MAC002784,Std,ACORN-E,Affluent,block_27,236,365,59,0.1572207676103314,0.06973273205620302,0.1578455431331973,0.07074997955578813,0.39738740139876266,1.4587805032007488,1.8561679045995114
MAC002882,Std,ACORN-Q,Adversity,block_100,184,365,59,0.05759118919596049,0.013296562643041045,0.05727145590713819,0.013264941728782195,0.5551774382264856,0.23781269721915507,0.7929901354456407
MAC002896,Std,ACORN-E,Affluent,block_28,182,365,59,0.37168813966831576,0.09328982707771154,0.37163559335883606,0.09087633911384921,0.014137203712391029,2.5870859015012053,2.6012231052135966
MAC003162,Std,ACORN-K,Adversity,block_75,158,365,59,0.3326174704253432,0.08216048603466442,0.33701298093789467,0.08148353193688668,1.3214911733080708,0.8239412039165924,2.145432377224663
MAC003280,Std,ACORN-M,Adversity,block_85,102,365,59,0.4167384067502192,0.06883000601148809,0.4179212462124745,0.06954562542942017,0.2838326017223174,1.0396910583047718,1.3235236600270892
MAC003443,Std,ACORN-L,Adversity,block_82,91,365,59,0.21840708041608212,0.05829446852755553,0.21554183786529676,0.05860675891060979,1.311881714332176,0.5357118624499397,1.8475935767821157
MAC003750,Std,ACORN-H,Comfortable,block_66,75,365,59,0.31875162758040393,0.06444214981848491,0.31896595381497134,0.06547315385504758,0.06723925966882945,1.5998908159748157,1.6671300756436451
MAC003948,Std,ACORN-P,Adversity,block_91,180,365,59,0.29276356405393783,0.06925767235705803,0.29220009770011685,0.06816555630630526,0.19246464485490883,1.576888182326373,1.7693528271812817
MAC003985,Std,ACORN-E,Affluent,block_23,179,365,59,0.20475619641620108,0.05809565320676053,0.20147408675799083,0.05865988306218473,1.602935449894179,0.9712083852747598,2.5741438351689387
MAC004014,Std,ACORN-E,Affluent,block_24,124,365,59,0.40475726384353605,0.10827044898878886,0.4085890886222855,0.10709730750599278,0.9466969764452892,1.083528787174014,2.030225763619303
MAC004067,Std,ACORN-U,ACORN-U,block_110,228,365,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC004101,Std,ACORN-Q,Adversity,block_102,228,365,59,0.06875524895598266,0.03079081477216692,0.06838270376511625,0.030455100885257068,0.5418425451486804,1.0903053049876357,1.632147850136316
MAC004405,Std,ACORN-Q,Adversity,block_103,288,365,59,0.1813453906720966,0.09162460877537758,0.181812892222627,0.0915462694613044,0.25779621351155857,0.08550029857724542,0.34329651208880396
MAC004443,Std,ACORN-E,Affluent,block_21,287,365,59,0.1772430803966812,0.06551465332759371,0.18044317983095307,0.06570969620031071,1.8054862435869585,0.2977087762973072,2.1031950198842657
MAC004455,Std,ACORN-C,Affluent,block_5,382,365,59,0.3655245040353571,0.09898070876135504,0.3663457763184932,0.10090336100589294,0.22468323575282606,1.9424514823120367,2.1671347180648626
MAC004463,Std,ACORN-E,Affluent,block_20,381,365,59,0.21356884484813857,0.06977220559493329,0.2176570776027397,0.06996064323249407,1.914245852436075,0.2700755063624727,2.184321358798548
MAC004500,Std,ACORN-E,Affluent,block_20,379,365,59,0.29248881495764495,0.23354987930683577,0.29358755701484013,0.23692976341637592,0.37565267490802573,1.4471787010001802,1.822831375908206
MAC004703,Std,ACORN-G,Comfortable,block_59,172,365,59,0.13561121608527127,0.03646736805163441,0.13596754226173124,0.036807681464505235,0.26275568256531273,0.9331998196002805,1.1959555021655932
MAC004737,Std,ACORN-H,Comfortable,block_63,274,365,59,0.11908049078141802,0.028325792479898342,0.11798058641718082,0.028801480217888413,0.9236646213158232,1.6793448526732198,2.603009473989043
MAC004860,Std,ACORN-Q,Adversity,block_99,368,365,59,0.0840084292129201,0.011656601881915587,0.08390890653842414,0.011812876520382418,0.11846748645151879,1.3406534773164078,1.4591209637679265
MAC004887,Std,ACORN-D,Affluent,block_8,355,365,59,0.1449529342546948,0.0582661625853333,0.1458703196289954,0.05827134805336476,0.6328849974769645,0.008899621669548427,0.6417846191465129
