LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC000926,Std,pre_2011_2012,2011-2012 pre-drift,5807,9720,0.40257201646090535,0.0
MAC002546,Std,pre_2011_2012,2011-2012 pre-drift,4151,9720,0.5729423868312757,0.0
MAC003623,Std,pre_2011_2012,2011-2012 pre-drift,1943,9720,0.8001028806584363,0.0
MAC005446,Std,pre_2011_2012,2011-2012 pre-drift,6191,9720,0.36306584362139915,0.0
MAC001410,ToU,pre_2011_2012,2011-2012 pre-drift,5423,9720,0.44207818930041154,0.0
MAC001487,ToU,pre_2011_2012,2011-2012 pre-drift,5231,9720,0.46183127572016464,0.0
MAC002508,ToU,pre_2011_2012,2011-2012 pre-drift,4223,9720,0.5655349794238683,0.0
MAC005537,ToU,pre_2011_2012,2011-2012 pre-drift,6095,9720,0.37294238683127573,0.0
