block,households_loaded,raw_halfhour_missing,raw_halfhour_total,raw_halfhour_missing_rate,hourly_missing_before_fill,hourly_total,hourly_missing_rate_before_fill
block_12,1,1,28560,3.5014005602240894e-05,1,14280,7.002801120448179e-05
block_18,1,1,32544,3.072763028515241e-05,1,16272,6.145526057030482e-05
block_3,1,1,31104,3.2150205761316875e-05,1,15552,6.430041152263375e-05
block_31,1,1,28752,3.478018920422927e-05,1,14376,6.956037840845854e-05
block_40,1,1,30672,3.260302556077204e-05,1,15336,6.520605112154408e-05
block_45,1,1,32400,3.08641975308642e-05,1,16200,6.17283950617284e-05
block_84,1,1,24096,4.150066401062417e-05,1,12048,8.300132802124833e-05
block_95,1,1,31632,3.161355589276682e-05,1,15816,6.322711178553364e-05
